ID,ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile)
C0634,,,,,,,,
C0635,26,30,550,690,620,740,570,670
C0636,19,24,420,500,420,530,380,510
C0637,22,26,460,590,490,620,410,570
C0638,23,28,530,690,530,640,490,640
C0639,20,25,450,560,480,590,,
C0640,19,26,460,550,440,560,,
C0641,22,27,498,640,468,673,,
C0642,23,28,470,570,470,608,473,595
C0643,19,24,435,548,440,590,,
C0644,23,28,475,610,480,625,460,575
C0645,20,26,465,550,455,590,,
C0646,26,31,590,710,590,710,580,690
C0647,18,24,370,435,395,455,,
C0648,21,26,420,530,430,500,380,510
C0649,23,28,520,640,520,640,,
C0650,20,25,480,620,490,550,,
C0651,19,24,,,,,,
C0652,21,25,,,,,,
C0653,16,19,400,460,410,480,,
C0654,19,25,452,620,450,560,,
C0655,18,25,410,540,430,470,390,590
C0656,18,22,410,475,455,570,,
C0657,17,21,,,,,,
C0658,23,28,498,630,520,620,,
C0659,21,27,490,590,490,600,,
C0660,18,24,440,480,550,640,,
C0661,15,19,,,,,,
C0662,21,27,458,593,470,583,,
C0663,20,28,480,620,490,630,,
C0664,13,14,310,360,320,440,340,360
C0665,20,27,440,550,470,560,,
C0666,15,21,365,537,357,447,,
C0667,20,28,,,,,,
C0668,20,24,400,580,450,560,,
C0669,19,24,410,480,440,540,370,470
C0670,18,24,,,,,,
C0671,,,,,,,,
C0672,18,23,450,540,450,540,,
C0673,22,28,525,650,515,615,465,605
C0674,19,26,440,600,460,570,430,590
C0675,21,25,490,600,440,610,440,590
C0676,19,25,420,620,430,520,,
C0677,,,,,,,,
C0678,,,,,,,,
C0679,20,25,430,550,470,580,410,520
C0680,23,27,470,610,510,610,,
C0681,19,24,410,500,400,540,,
C0682,18,24,,,,,,
C0683,18,21,390,440,400,460,400,460
C0684,,,,,,,,
C0685,23,28,520,640,520,650,,
C0686,21,27,,,490,670,510,660
C0687,25,31,540,670,590,690,,
C0688,21,26,,,510,590,,
C0689,25,30,540,680,540,650,,
C0690,20,25,450,570,480,600,,
C0691,20,25,510,560,450,548,495,548
C0692,,,,,,,,
C0693,23,28,500,640,510,649,,
C0694,25,30,530,640,550,680,,
C0695,20,26,400,550,430,560,,
C0696,19,26,440,630,410,580,440,590
C0697,20,25,435,555,460,595,,
C0698,21,26,470,600,480,620,,
C0699,32,34,700,760,720,790,700,770
C0700,21,27,500,650,490,600,470,590
C0701,21,27,390,550,470,610,420,530
C0702,22,28,498,670,510,645,,
C0703,19,26,472,590,460,547,,
C0704,22,26,490,620,510,610,490,590
C0705,,,,,,,,
C0706,,,,,,,,
C0707,21,27,500,620,550,610,450,580
C0708,21,27,500,630,510,630,490,600
C0709,21,26,490,620,480,590,470,590
C0710,17,22,385,490,385,505,370,485
C0711,19,25,450,560,450,570,430,555
C0712,,,,,,,,
C0713,,,,,,,,
C0714,,,,,,,,
C0715,21,27,430,570,460,610,,
C0716,24,30,520,640,540,660,500,620
C0717,21,26,430,515,450,535,425,490
C0718,19,24,400,465,423,528,410,498
C0719,21,26,450,540,460,530,,
C0720,20,25,420,520,440,550,,
C0721,18,23,,,,,,
C0722,20,26,,,,,,
C0723,22,26,470,610,520,600,,
C0724,22,28,490,660,520,670,,
C0725,,,,,,,,
C0726,20,26,,,,,,
C0727,19,26,,,440,570,440,570
C0728,,,,,,,,
C0729,17,22,370,510,380,500,,
C0730,19,24,440,550,450,560,420,530
C0731,21,26,480,590,480,600,460,560
C0732,,,,,,,,
C0733,,,,,,,,
C0734,,,,,,,,
C0735,30,34,670,780,680,780,680,790
C0736,16,21,440,530,440,550,420,520
C0737,,,,,,,,
C0738,,,430,520,440,540,430,530
C0739,,,490,590,510,610,,
C0740,,,430,540,440,540,440,540
C0741,,,450,580,450,560,430,560
C0742,18,23,430,530,430,540,420,520
C0743,17,21,430,500,430,510,430,510
C0744,23,27,540,610,520,620,520,620
C0745,,,,,,,,
C0746,,,,,,,,
C0747,,,370,440,390,470,,
C0748,16,25,410,520,420,540,,
C0749,18,23,410,540,410,550,400,540
C0750,22,27,490,610,500,610,500,610
C0751,,,440,530,450,550,430,540
C0752,15,23,390,480,380,500,380,480
