ID,Control,Highest degree offered,Admission rate (%),Tuition and fees 2010-11 ($),Tuition and fees 2011-12 ($),Tuition and fees 2012-13 ($),Tuition and fees 2013-14 ($),ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile),Receiving financial aid (%)
C0219,Private,Doctoral degree,57,22150,23214,24414,25430,21,27,470,590,480,600,,,98
C0220,Private,Doctoral degree,84,23400,24100,24800,25532,20,26,470,590,455,590,,,100
C0221,Private,Doctoral degree,59,37640,38400,39900,41460,24,29,550,640,550,650,540,650,86
C0222,Private,Doctoral degree,77,18150,18870,19370,19920,,,,,,,,,94
C0223,Public,Bachelor's degree,,2822,2988,3172,3232,,,,,,,,,81
C0224,Public,Doctoral degree,45,5198,5800,6334,6410,23,28,530,620,550,640,510,610,98
C0225,Private,Doctoral degree,46,22770,23910,25110,26370,16,21,410,510,408,500,400,490,100
C0226,Private,Doctoral degree,59,33424,35078,36644,38330,23,28,540,640,530,630,510,610,100
C0227,Private,Master's degree,59,16430,17718,18596,19986,17,23,430,550,410,530,420,530,97
C0228,Private,Master's degree,52,23218,23976,25222,25772,21,26,480,570,500,580,480,560,95
C0229,Private,Master's degree,34,15980,16660,17480,18430,17,21,410,490,410,500,,,99
C0230,Private,Master's degree,64,18742,19670,20418,21050,17,24,330,530,342,547,,,100
C0231,Public,Doctoral degree,48,4154,4701,6238,6357,21,26,460,570,460,560,440,540,91
C0232,Private,Bachelor's degree,67,31283,32195,33461,34788,,,,,,,,,100
C0233,Public,Master's degree,20,4592,5802,5912,6024,17,20,420,480,400,470,,,99
C0234,Public,Doctoral degree,70,4510,4854,4942,5085,19,23,460,550,450,540,,,91
C0235,Private,Bachelor's degree,54,15880,16226,17400,17400,18,22,420,535,420,510,,,95
C0236,Private,Doctoral degree,57,17954,18912,19830,21100,17,21,390,470,380,470,,,98
C0237,Private,Master's degree,60,24620,26090,27650,29090,24,29,530,640,530,630,520,610,100
C0238,Private,Doctoral degree,78,20130,21124,22168,23350,19,21,440,550,430,500,,,97
C0239,Private,Bachelor's degree,51,17130,13790,12670,13560,17,20,400,490,410,500,370,480,100
C0240,Public,Master's degree,48,4566,4926,5014,5153,18,21,440,520,420,510,420,500,94
C0241,Public,Doctoral degree,55,4996,5457,5357,5514,19,23,440,550,430,540,420,530,93
C0242,Private,Master's degree,57,26226,27220,28270,29100,23,28,530,670,530,630,530,650,100
C0243,Public,Bachelor's degree,,2522,3622,3732,3910,,,,,,,,,93
C0244,Private,Bachelor's degree,48,13520,14550,15700,16800,,,410,510,420,530,,,100
C0245,Private,Doctoral degree,26,39158,41164,42980,44008,29,32,620,710,650,750,640,730,53
C0246,Public,Master's degree,33,5562,6030,6180,6438,,,380,460,370,450,,,97
C0247,Public,Doctoral degree,55,8716,9652,10098,10650,28,32,600,700,660,760,610,700,72
C0248,Public,Master's degree,68,4454,4786,4914,5035,18,22,440,520,420,520,,,91
C0249,Public,Doctoral degree,68,7852,8344,8618,8790,22,26,530,610,520,620,510,600,95
C0250,Public,Doctoral degree,52,5340,5659,5754,6071,21,25,520,590,510,600,490,570,89
C0251,Public,Doctoral degree,55,8698,9410,8157,8368,20,25,480,580,480,590,,,91
C0252,Public,Doctoral degree,56,8736,9472,9842,10262,26,30,560,660,580,670,570,670,94
C0253,Public,Doctoral degree,57,5042,5340,5522,5818,21,24,500,590,490,580,470,570,90
C0254,Private,Master's degree,58,22208,23272,24462,25690,19,23,460,550,450,540,,,99
C0255,Private,Doctoral degree,75,8580,8815,9057,7947,,,,,,,,,92
C0256,Private,Doctoral degree,69,30560,31548,32466,33120,23,28,540,630,540,640,,,100
C0257,Private,Bachelor's degree,67,22444,23792,24744,25468,18,23,450,550,450,560,430,550,94
C0258,Public,Doctoral degree,,,,,,,,,,,,,,
C0259,Private,Master's degree,56,27950,29150,30150,31280,22,27,520,630,510,610,490,610,97
C0260,Private,Bachelor's degree,44,11794,12502,12502,13332,14,18,340,430,340,440,330,410,99
C0261,Private,Doctoral degree,61,18000,19000,19930,20730,19,24,450,560,440,540,,,99
C0262,Private,Master's degree,51,17166,17670,18070,18670,18,25,437,590,415,586,,,92
C0263,Public,Master's degree,83,5624,6032,5290,5415,16,19,390,460,380,460,370,450,99
C0264,Private,Master's degree,68,17070,17870,18770,19670,18,23,410,530,410,530,410,500,99
C0265,Private,Bachelor's degree,38,22010,23254,23794,24634,20,24,470,570,460,540,,,90
C0266,Public,Master's degree,78,5180,5500,5627,5732,22,26,500,600,530,630,,,91
C0267,Private,Master's degree,69,12510,13320,14080,14740,,,,,,,,,56
C0268,Private,Bachelor's degree,49,15885,16910,18210,19000,17,23,450,590,450,570,,,100
C0269,Private,Bachelor's degree,81,14540,15010,15650,16610,17,22,430,530,410,520,400,520,100
C0270,Public,Doctoral degree,55,5406,5697,5792,5889,20,24,480,570,470,550,450,540,92
C0271,Private,Master's degree,43,18000,18500,19000,19775,17,22,450,570,430,560,420,540,100
C0272,Public,Doctoral degree,54,5282,5645,5740,5837,18,22,440,520,430,510,420,510,94
C0273,Private,Master's degree,84,17740,18440,19330,20090,19,23,430,520,440,540,,,100
C0274,Public,Doctoral degree,75,5416,5944,6184,6536,19,23,410,540,430,550,400,510,85
C0275,Public,Doctoral degree,80,8095,9100,9404,9904,21,27,480,580,500,610,470,570,79
C0276,Private,Master's degree,64,15820,16610,18600,20180,19,25,430,550,440,560,,,95
C0277,Public,Bachelor's degree,76,4666,5146,5602,6336,16,22,400,480,400,500,380,470,64
C0278,Public,Doctoral degree,78,5300,5566,5884,6292,20,26,460,570,460,580,,,80
C0279,Public,Doctoral degree,,5416,5796,6070,6344,,,,,,,,,87
C0280,Public,Doctoral degree,66,5402,5856,6212,6524,20,26,480,590,480,590,460,570,91
C0281,Private,Master's degree,91,21380,22695,23355,24055,21,27,460,570,465,590,455,570,99
C0282,Public,Bachelor's degree,100,4998,5348,5562,5786,18,22,400,510,420,520,,,97
C0283,Private,Doctoral degree,62,23100,24030,25190,26550,21,28,460,590,460,570,460,570,100
C0284,Private,Bachelor's degree,100,3660,3811,3770,3850,20,25,450,560,440,560,,,71
C0285,Private,Bachelor's degree,59,32235,33363,34614,35835,,,,,,,,,99
C0286,Private,Doctoral degree,76,18700,19450,20100,20720,19,24,460,560,460,560,,,100
C0287,Private,Bachelor's degree,68,14996,16296,17502,18506,19,25,520,570,500,620,,,99
C0288,Private,Doctoral degree,67,25424,26704,28284,29664,23,28,500,640,510,630,490,620,99
C0289,Public,Doctoral degree,29,8752,9062,8558,9032,17,20,430,510,450,530,,,97
